I, [2018-06-28T09:44:36.107987 #31282]  INFO -- default-amazonlinux: -----> Creating <default-amazonlinux>...
E, [2018-06-28T09:44:36.108162 #31282] ERROR -- default-amazonlinux: Create failed on instance <default-amazonlinux>.
E, [2018-06-28T09:44:36.108236 #31282] ERROR -- default-amazonlinux: ------Exception-------
E, [2018-06-28T09:44:36.108256 #31282] ERROR -- default-amazonlinux: Class: Kitchen::ActionFailed
E, [2018-06-28T09:44:36.108273 #31282] ERROR -- default-amazonlinux: Message: Unknown platform 'amazonlinux'
E, [2018-06-28T09:44:36.108285 #31282] ERROR -- default-amazonlinux: ----------------------
E, [2018-06-28T09:44:36.108296 #31282] ERROR -- default-amazonlinux: ------Backtrace-------
E, [2018-06-28T09:44:36.108307 #31282] ERROR -- default-amazonlinux: /root/.chefdk/gem/ruby/2.5.0/gems/kitchen-docker-2.6.0/lib/kitchen/driver/docker.rb:249:in `build_dockerfile'
E, [2018-06-28T09:44:36.108319 #31282] ERROR -- default-amazonlinux: /root/.chefdk/gem/ruby/2.5.0/gems/kitchen-docker-2.6.0/lib/kitchen/driver/docker.rb:285:in `dockerfile'
E, [2018-06-28T09:44:36.108330 #31282] ERROR -- default-amazonlinux: /root/.chefdk/gem/ruby/2.5.0/gems/kitchen-docker-2.6.0/lib/kitchen/driver/docker.rb:304:in `build_image'
E, [2018-06-28T09:44:36.108342 #31282] ERROR -- default-amazonlinux: /root/.chefdk/gem/ruby/2.5.0/gems/kitchen-docker-2.6.0/lib/kitchen/driver/docker.rb:122:in `create'
E, [2018-06-28T09:44:36.108359 #31282] ERROR -- default-amazonlinux: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.21.2/lib/kitchen/instance.rb:469:in `public_send'
E, [2018-06-28T09:44:36.108371 #31282] ERROR -- default-amazonlinux: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.21.2/lib/kitchen/instance.rb:469:in `block in perform_action'
E, [2018-06-28T09:44:36.108383 #31282] ERROR -- default-amazonlinux: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.21.2/lib/kitchen/instance.rb:536:in `synchronize_or_call'
E, [2018-06-28T09:44:36.108394 #31282] ERROR -- default-amazonlinux: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.21.2/lib/kitchen/instance.rb:498:in `block in action'
E, [2018-06-28T09:44:36.108406 #31282] ERROR -- default-amazonlinux: /opt/chefdk/embedded/lib/ruby/2.5.0/benchmark.rb:293:in `measure'
E, [2018-06-28T09:44:36.108417 #31282] ERROR -- default-amazonlinux: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.21.2/lib/kitchen/instance.rb:497:in `action'
E, [2018-06-28T09:44:36.108429 #31282] ERROR -- default-amazonlinux: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.21.2/lib/kitchen/instance.rb:469:in `perform_action'
E, [2018-06-28T09:44:36.108440 #31282] ERROR -- default-amazonlinux: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.21.2/lib/kitchen/instance.rb:379:in `create_action'
E, [2018-06-28T09:44:36.108451 #31282] ERROR -- default-amazonlinux: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.21.2/lib/kitchen/instance.rb:368:in `block in transition_to'
E, [2018-06-28T09:44:36.108529 #31282] ERROR -- default-amazonlinux: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.21.2/lib/kitchen/instance.rb:367:in `each'
E, [2018-06-28T09:44:36.108549 #31282] ERROR -- default-amazonlinux: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.21.2/lib/kitchen/instance.rb:367:in `transition_to'
E, [2018-06-28T09:44:36.108561 #31282] ERROR -- default-amazonlinux: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.21.2/lib/kitchen/instance.rb:135:in `converge'
E, [2018-06-28T09:44:36.108573 #31282] ERROR -- default-amazonlinux: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.21.2/lib/kitchen/command.rb:197:in `public_send'
E, [2018-06-28T09:44:36.108584 #31282] ERROR -- default-amazonlinux: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.21.2/lib/kitchen/command.rb:197:in `run_action_in_thread'
E, [2018-06-28T09:44:36.108596 #31282] ERROR -- default-amazonlinux: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.21.2/lib/kitchen/command.rb:169:in `block (2 levels) in run_action'
E, [2018-06-28T09:44:36.108613 #31282] ERROR -- default-amazonlinux: ----End Backtrace-----
